asm_acc	year	geo	source	organism	phenotypes	genotypes	n_genes
GCA_000417045.1		NULL	null	Klebsiella pneumoniae UHKPC59	amikacin=Susceptible;aztreonam=Resistant;cefepime=Intermediate;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Intermediate;doxycycline=Susceptible;ertapenem=Resistant;gentamicin=Resistant;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Susceptible;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:parC_S80I;aac(3)-IVa;aadA1;aadA2;aph(3')-Ia;aph(4)-Ia;blaKPC;blaOXA;blaSHV;cmlA1;dfrA12;emrD;estX;fosA;mph(A);mrx(A);oqxA;oqxB;sul1;sul3	23
GCA_000417265.2		NULL	null	Klebsiella pneumoniae UHKPC07	amikacin=Susceptible;aztreonam=Resistant;cefepime=Resistant;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Resistant;doxycycline=Intermediate;ertapenem=Resistant;gentamicin=Susceptible;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Intermediate;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:ompK36_D135DGD;POINT:parC_S80I;aac(6')-Ib;blaKPC;blaSHV;blaTEM;emrD;fosA;oqxA;oqxB	12
GCA_000417545.1		NULL	null	Klebsiella pneumoniae UHKPC17	amikacin=Susceptible;aztreonam=Resistant;cefepime=Intermediate;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Susceptible;doxycycline=Susceptible;ertapenem=Resistant;gentamicin=Resistant;imipenem=Intermediate;levofloxacin=Resistant;meropenem=Susceptible;minocycline=Susceptible;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:parC_S80I;aac(3)-IVa;aadA1;aadA2;aph(3')-Ia;aph(4)-Ia;blaKPC;blaOXA;blaSHV;cmlA1;dfrA12;emrD;estX;fosA;mph(A);mrx(A);oqxA;oqxB;sul1;sul3	23
GCA_000417245.1		NULL	null	Klebsiella pneumoniae UHKPC18	amikacin=Susceptible;aztreonam=Resistant;cefepime=Intermediate;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Intermediate;doxycycline=Susceptible;ertapenem=Resistant;gentamicin=Resistant;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Susceptible;piperacillin-tazobactam=Intermediate;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:parC_S80I;aac(3)-IVa;aph(4)-Ia;blaKPC;blaOXA;blaSHV;cmlA1;dfrA12;emrD;estX;fosA;mph(A);mrx(A);oqxA;oqxB;sul1;sul3	20
GCA_000417165.1		NULL	null	Klebsiella pneumoniae UHKPC31	amikacin=Susceptible;aztreonam=Resistant;cefepime=Resistant;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Resistant;doxycycline=Intermediate;ertapenem=Resistant;gentamicin=Susceptible;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Intermediate;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:ompK36_D135DGD;POINT:parC_S80I;aac(6')-Ib;blaKPC;blaSHV;emrD;fosA;oqxA;oqxB	11
GCA_000417185.1		NULL	null	Klebsiella pneumoniae UHKPC06	amikacin=Intermediate;aztreonam=Resistant;cefepime=Resistant;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Resistant;doxycycline=Intermediate;ertapenem=Resistant;gentamicin=Susceptible;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Intermediate;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Susceptible	POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:ompK36_D135DGD;POINT:parC_S80I;aac(6')-Ib;blaKPC;blaSHV;emrD;fosA;oqxA;oqxB	11
GCA_000417145.1		NULL	null	Klebsiella pneumoniae UHKPC02	amikacin=Susceptible;aztreonam=Resistant;cefepime=Resistant;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Resistant;doxycycline=Susceptible;ertapenem=Resistant;gentamicin=Resistant;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Susceptible;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:parC_S80I;aac(3)-IVa;aadA1;aadA2;aph(3')-Ia;aph(4)-Ia;blaKPC;blaOXA;blaSHV;cmlA1;dfrA12;emrD;estX;fosA;mph(A);mrx(A);oqxA;oqxB;sul1;sul3	23
GCA_000417445.1		NULL	null	Klebsiella pneumoniae UHKPC67	amikacin=Susceptible;aztreonam=Resistant;cefepime=Intermediate;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Resistant;doxycycline=Susceptible;ertapenem=Resistant;gentamicin=Resistant;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Susceptible;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:parC_S80I;aac(3)-IVa;aadA2;aph(4)-Ia;blaKPC;blaOXA;blaSHV;cmlA1;emrD;estX;fosA;oqxA;oqxB;sul3	17
GCA_000417465.1		NULL	null	Klebsiella pneumoniae UHKPC179	amikacin=Susceptible;aztreonam=Resistant;cefepime=Resistant;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Resistant;doripenem=Susceptible;doxycycline=Resistant;ertapenem=Susceptible;gentamicin=Resistant;imipenem=Susceptible;levofloxacin=Resistant;meropenem=Susceptible;minocycline=Intermediate;piperacillin-tazobactam=Resistant;polymyxin b=Resistant;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_D87A;POINT:gyrA_S83F;POINT:mgrB_C28Y;POINT:parC_S80I;POINT:ramR_A19V;aac(3)-IIe;aph(3'')-Ib;aph(6)-Id;blaCTX-M;blaOXA;blaSHV;catB3;dfrA14;emrD;fosA;oqxA;oqxB;sul2;tet(A)	19
GCA_000417365.1		NULL	null	Klebsiella pneumoniae 160_1080	amikacin=Susceptible;aztreonam=Resistant;cefepime=Resistant;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Resistant;doxycycline=Intermediate;ertapenem=Resistant;gentamicin=Susceptible;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Intermediate;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Susceptible	POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:parC_S80I;aac(6')-Ib';blaKPC;blaSHV;emrD;fosA;oqxA;oqxB	10
GCA_000417385.1		NULL	null	Klebsiella pneumoniae 120_1020	amikacin=Susceptible;aztreonam=Resistant;cefepime=Resistant;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Resistant;doxycycline=Susceptible;ertapenem=Resistant;gentamicin=Susceptible;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Intermediate;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:ompK36_D135DGD;POINT:parC_S80I;aac(6')-Ib;aadA2;blaKPC;blaSHV;dfrA12;emrD;fosA;mph(A);mrx(A);oqxA;oqxB;sul1	16
GCA_000417405.1		NULL	null	Klebsiella pneumoniae 140_1040	amikacin=Intermediate;aztreonam=Resistant;cefepime=Resistant;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Resistant;doxycycline=Resistant;ertapenem=Resistant;gentamicin=Susceptible;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Resistant;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:ompK36_D135DGD;POINT:parC_S80I;POINT:rpsJ_V57L;aac(6')-Ib;aadA2;blaKPC;blaSHV;dfrA12;emrD;fosA;mph(A);mrx(A);oqxA;oqxB;sul1	17
GCA_000417425.1		NULL	null	Klebsiella pneumoniae 280_1220	amikacin=Susceptible;aztreonam=Resistant;cefepime=Resistant;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Resistant;doripenem=Resistant;doxycycline=Intermediate;ertapenem=Resistant;gentamicin=Susceptible;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Intermediate;piperacillin-tazobactam=Resistant;polymyxin b=Resistant;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Susceptible	POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:ompK36_D135DGD;POINT:parC_S80I;aac(6')-Ib;blaKPC;blaSHV;blaTEM;emrD;fosA;oqxA;oqxB	12
GCA_000406425.1		NULL	null	Klebsiella pneumoniae UHKPC09	amikacin=Intermediate;aztreonam=Resistant;cefepime=Resistant;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Resistant;doxycycline=Susceptible;ertapenem=Resistant;gentamicin=Susceptible;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Intermediate;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:ompK36_D135DGD;POINT:parC_S80I;aac(6')-Ib;aadA2;blaKPC;blaSHV;catA1;dfrA12;emrD;fosA;mph(A);mrx(A);oqxA;oqxB;sul1	17
GCA_000406445.1		NULL	null	Klebsiella pneumoniae UHKPC01	amikacin=Susceptible;aztreonam=Resistant;cefepime=Resistant;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Resistant;doxycycline=Intermediate;ertapenem=Resistant;gentamicin=Intermediate;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Intermediate;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:ompK36_D135DGD;POINT:parC_S80I;aac(3)-IVa;aac(6')-Ib;aadA2;aph(4)-Ia;blaKPC;blaSHV;catA1;cmlA1;dfrA12;emrD;estX;fosA;mph(A);mrx(A);oqxA;oqxB;sul1;sul3	22
GCA_000406525.1		NULL	null	Klebsiella pneumoniae UHKPC81	amikacin=Susceptible;aztreonam=Resistant;cefepime=Intermediate;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Resistant;doripenem=Resistant;doxycycline=Intermediate;ertapenem=Resistant;gentamicin=Resistant;imipenem=Resistant;levofloxacin=Susceptible;meropenem=Resistant;minocycline=Intermediate;piperacillin-tazobactam=Resistant;polymyxin b=Resistant;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_S83F;aac(6')-Ib;ant(2'')-Ia;blaKPC;blaSHV;blaTEM;catB3;dfrA19;emrD;fosA;oqxA10;oqxB;sul1	13
GCA_000406465.1		NULL	null	Klebsiella pneumoniae UHKPC27	amikacin=Intermediate;aztreonam=Resistant;cefepime=Resistant;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Resistant;doxycycline=Intermediate;ertapenem=Resistant;gentamicin=Intermediate;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Intermediate;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:ompK36_D135DGD;POINT:parC_S80I;aac(3)-IVa;aac(6')-Ib;aadA2;aph(4)-Ia;blaKPC;blaSHV;cmlA1;dfrA12;emrD;estX;fosA;mph(A);mrx(A);oqxA;oqxB;sul1;sul3	21
GCA_000406605.1		NULL	null	Klebsiella pneumoniae UHKPC24	amikacin=Intermediate;aztreonam=Resistant;cefepime=Resistant;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Resistant;doxycycline=Intermediate;ertapenem=Resistant;gentamicin=Susceptible;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Intermediate;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:ompK36_D135DGD;POINT:parC_S80I;aac(6')-Ib;blaKPC;blaSHV;emrD;fosA;oqxA;oqxB	11
GCA_000406665.1		NULL	null	Klebsiella pneumoniae UHKPC26	amikacin=Intermediate;aztreonam=Resistant;cefepime=Resistant;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Resistant;doripenem=Resistant;doxycycline=Susceptible;ertapenem=Resistant;gentamicin=Susceptible;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Susceptible;piperacillin-tazobactam=Resistant;polymyxin b=Resistant;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:crrB_L94M;POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:ompK36_D135DGD;POINT:parC_S80I;aac(6')-Ib;aadA2;blaKPC;blaSHV;dfrA12;emrD;fosA;mph(A);mrx(A);oqxA;oqxB;sul1	17
GCA_000406685.1		NULL	null	Klebsiella pneumoniae UHKPC22	amikacin=Susceptible;aztreonam=Resistant;cefepime=Intermediate;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Resistant;doxycycline=Resistant;ertapenem=Resistant;gentamicin=Resistant;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Resistant;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_D87N;POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:parC_S80I;aac(3)-IVa;aadA1;aadA2;aph(4)-Ia;blaKPC;blaOXA;blaSHV;cmlA1;dfrA12;emrD;estX;fosA;mph(A);mrx(A);oqxA;oqxB;sul1;sul3	22
GCA_000406705.1		NULL	null	Klebsiella pneumoniae UHKPC04	amikacin=Susceptible;aztreonam=Resistant;cefepime=Resistant;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Resistant;doxycycline=Susceptible;ertapenem=Resistant;gentamicin=Intermediate;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Susceptible;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:ompK36_D135DGD;POINT:parC_S80I;aac(3)-IVa;aac(6')-Ib';aadA2;aph(4)-Ia;blaKPC;blaSHV;blaTEM;catA1;dfrA12;emrD;fosA;mph(A);mrx(A);oqxA;oqxB;sul1;sul3	21
GCA_000406725.1		NULL	null	Klebsiella pneumoniae VAKPC252	amikacin=Susceptible;aztreonam=Resistant;cefepime=Resistant;cefotaxime=Resistant;ceftazidime=Resistant;ciprofloxacin=Resistant;colistin=Susceptible;doripenem=Resistant;doxycycline=Susceptible;ertapenem=Resistant;gentamicin=Resistant;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;minocycline=Susceptible;piperacillin-tazobactam=Resistant;polymyxin b=Susceptible;ticarcillin-clavulanic acid=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Susceptible	POINT:gyrA_D87N;POINT:gyrA_S83I;POINT:ompK35_E42RfsTer47;POINT:parC_S80I;aac(3)-IVa;aadA2;aph(4)-Ia;blaKPC;blaSHV;cmlA1;emrD;estX;fosA;oqxA;oqxB;sul3	16
